SOC,NE_OCV,,PE_OCV,FC_Cap,FC_OCV
0,1.641387959,0,2.80442635,0.0000,2.8611
0.002527693324,1.544435711,0.002525936586,2.941818053,0.0040,2.9160
0.006314064202,1.382845687,0.01002598663,3.103487561,0.0081,2.9442
0.01011852695,1.277821445,0.01503020062,3.224735276,0.0121,2.9671
0.01264622028,1.180869197,0.02625017514,3.370269626,0.0162,2.9867
0.02027323766,1.027386493,0.04491501539,3.499695313,0.0202,3.0040
0.0330047482,0.833534986,0.07100214597,3.540284904,0.0242,3.0199
0.06110918297,0.7044360643,0.08466277223,3.548462877,0.0283,3.0347
0.0892265405,0.6157412723,0.09335681017,3.556605523,0.0323,3.0484
0.1122368203,0.5593344579,0.1095007306,3.564801159,0.0364,3.0614
0.1454767629,0.4868366437,0.1318553948,3.581121778,0.0404,3.0735
0.1748863972,0.4385548127,0.1554542145,3.605532054,0.0445,3.0853
0.2030296002,0.4306682799,0.1840171141,3.62189683,0.0485,3.0961
0.2350134498,0.4308890675,0.2175491104,3.646377759,0.0525,3.1063
0.2644308377,0.4068497143,0.2510811067,3.670858687,0.0566,3.1166
0.2964095182,0.39090885,0.2933046325,3.695401436,0.0606,3.1262
0.3347849686,0.3750121433,0.3342840029,3.711854527,0.0647,3.1355
0.3590901097,0.367099116,0.3678185076,3.744416282,0.0687,3.1442
0.3897920207,0.3592302461,0.4025871342,3.75274439,0.0727,3.1529
0.4345668256,0.3514585228,0.4497772484,3.777322465,0.0768,3.1609
0.4716680911,0.3517146365,0.4994531651,3.809999029,0.0808,3.1687
0.5113280645,0.3519884131,0.5391959052,3.84260494,0.0849,3.1764
0.5445912681,0.3522180322,0.5814219395,3.875228515,0.0889,3.1842
0.5778518871,0.3443668253,0.6137198138,3.92394309,0.0930,3.1910
0.614950568,0.336542113,0.6397994193,3.940290203,0.0970,3.1981
0.6558847264,0.3206630693,0.6795471761,3.989057767,0.1010,3.2049
0.7211317795,0.321113476,0.7180457607,4.013574021,0.1051,3.2114
0.7914962486,0.3215992087,0.7441303829,4.046082787,0.1091,3.2176
0.8477878238,0.3219877949,0.7813898288,4.078671035,0.1132,3.2235
0.8797716734,0.3222085825,0.8298316236,4.135581245,0.1172,3.2297
0.906638107,0.322394044,0.8670910695,4.168169494,0.1212,3.2353
0.9207110008,0.3224911906,0.9055846374,4.176524097,0.1253,3.2409
0.9488567884,0.3226854837,0.9391166337,4.201005025,0.1293,3.2462
0.973159345,0.3066916304,0.9602321592,4.225397638,0.1334,3.2517
0.9910651317,0.2906536196,0.9801110544,4.265943072,0.1374,3.2570
0.9999999331,0.2260688327,0.9999999831,4.338811809,0.1415,3.2617
,,,,0.1455,3.2663
,,,,0.1495,3.2710
,,,,0.1536,3.2756
,,,,0.1576,3.2796
,,,,0.1617,3.2840
,,,,0.1657,3.2883
,,,,0.1697,3.2921
,,,,0.1738,3.2961
,,,,0.1778,3.2995
,,,,0.1819,3.3029
,,,,0.1859,3.3066
,,,,0.1899,3.3097
,,,,0.1940,3.3131
,,,,0.1980,3.3159
,,,,0.2021,3.3184
,,,,0.2061,3.3215
,,,,0.2102,3.3240
,,,,0.2142,3.3265
,,,,0.2182,3.3289
,,,,0.2223,3.3308
,,,,0.2263,3.3330
,,,,0.2304,3.3348
,,,,0.2344,3.3370
,,,,0.2384,3.3386
,,,,0.2425,3.3404
,,,,0.2465,3.3420
,,,,0.2506,3.3435
,,,,0.2546,3.3454
,,,,0.2586,3.3469
,,,,0.2627,3.3485
,,,,0.2667,3.3500
,,,,0.2708,3.3519
,,,,0.2748,3.3534
,,,,0.2789,3.3550
,,,,0.2829,3.3562
,,,,0.2869,3.3581
,,,,0.2910,3.3599
,,,,0.2950,3.3615
,,,,0.2991,3.3630
,,,,0.3031,3.3646
,,,,0.3071,3.3661
,,,,0.3112,3.3680
,,,,0.3152,3.3696
,,,,0.3193,3.3711
,,,,0.3233,3.3727
,,,,0.3273,3.3742
,,,,0.3314,3.3761
,,,,0.3354,3.3776
,,,,0.3395,3.3792
,,,,0.3435,3.3807
,,,,0.3476,3.3820
,,,,0.3516,3.3835
,,,,0.3556,3.3851
,,,,0.3597,3.3869
,,,,0.3637,3.3885
,,,,0.3678,3.3900
,,,,0.3718,3.3913
,,,,0.3758,3.3928
,,,,0.3799,3.3947
,,,,0.3839,3.3959
,,,,0.3880,3.3975
,,,,0.3920,3.3990
,,,,0.3960,3.4002
,,,,0.4001,3.4021
,,,,0.4041,3.4037
,,,,0.4082,3.4049
,,,,0.4122,3.4061
,,,,0.4163,3.4074
,,,,0.4203,3.4086
,,,,0.4243,3.4102
,,,,0.4284,3.4114
,,,,0.4324,3.4126
,,,,0.4365,3.4136
,,,,0.4405,3.4145
,,,,0.4445,3.4154
,,,,0.4486,3.4164
,,,,0.4526,3.4176
,,,,0.4567,3.4182
,,,,0.4607,3.4192
,,,,0.4647,3.4198
,,,,0.4688,3.4207
,,,,0.4728,3.4213
,,,,0.4769,3.4219
,,,,0.4809,3.4226
,,,,0.4850,3.4232
,,,,0.4890,3.4241
,,,,0.4930,3.4247
,,,,0.4971,3.4254
,,,,0.5011,3.4263
,,,,0.5052,3.4266
,,,,0.5092,3.4275
,,,,0.5132,3.4281
,,,,0.5173,3.4285
,,,,0.5213,3.4291
,,,,0.5254,3.4297
,,,,0.5294,3.4303
,,,,0.5334,3.4309
,,,,0.5375,3.4316
,,,,0.5415,3.4322
,,,,0.5456,3.4328
,,,,0.5496,3.4337
,,,,0.5537,3.4343
,,,,0.5577,3.4350
,,,,0.5617,3.4356
,,,,0.5658,3.4362
,,,,0.5698,3.4368
,,,,0.5739,3.4375
,,,,0.5779,3.4381
,,,,0.5819,3.4387
,,,,0.5860,3.4393
,,,,0.5900,3.4399
,,,,0.5941,3.4406
,,,,0.5981,3.4415
,,,,0.6022,3.4421
,,,,0.6062,3.4427
,,,,0.6102,3.4433
,,,,0.6143,3.4440
,,,,0.6183,3.4446
,,,,0.6224,3.4452
,,,,0.6264,3.4458
,,,,0.6304,3.4464
,,,,0.6345,3.4471
,,,,0.6385,3.4477
,,,,0.6426,3.4483
,,,,0.6466,3.4492
,,,,0.6506,3.4499
,,,,0.6547,3.4505
,,,,0.6587,3.4511
,,,,0.6628,3.4517
,,,,0.6668,3.4526
,,,,0.6709,3.4533
,,,,0.6749,3.4539
,,,,0.6789,3.4545
,,,,0.6830,3.4554
,,,,0.6870,3.4561
,,,,0.6911,3.4567
,,,,0.6951,3.4576
,,,,0.6991,3.4585
,,,,0.7032,3.4592
,,,,0.7072,3.4598
,,,,0.7113,3.4604
,,,,0.7153,3.4613
,,,,0.7193,3.4619
,,,,0.7234,3.4629
,,,,0.7274,3.4635
,,,,0.7315,3.4644
,,,,0.7355,3.4654
,,,,0.7396,3.4663
,,,,0.7436,3.4669
,,,,0.7476,3.4678
,,,,0.7517,3.4685
,,,,0.7557,3.4694
,,,,0.7598,3.4703
,,,,0.7638,3.4712
,,,,0.7678,3.4722
,,,,0.7719,3.4731
,,,,0.7759,3.4740
,,,,0.7800,3.4750
,,,,0.7840,3.4759
,,,,0.7880,3.4768
,,,,0.7921,3.4778
,,,,0.7961,3.4787
,,,,0.8002,3.4796
,,,,0.8042,3.4802
,,,,0.8083,3.4818
,,,,0.8123,3.4827
,,,,0.8163,3.4836
,,,,0.8204,3.4846
,,,,0.8244,3.4855
,,,,0.8285,3.4867
,,,,0.8325,3.4874
,,,,0.8365,3.4889
,,,,0.8406,3.4898
,,,,0.8446,3.4908
,,,,0.8487,3.4917
,,,,0.8527,3.4929
,,,,0.8567,3.4939
,,,,0.8608,3.4948
,,,,0.8648,3.4957
,,,,0.8689,3.4973
,,,,0.8729,3.4982
,,,,0.8770,3.4991
,,,,0.8810,3.5001
,,,,0.8850,3.5013
,,,,0.8891,3.5022
,,,,0.8931,3.5032
,,,,0.8972,3.5047
,,,,0.9012,3.5057
,,,,0.9052,3.5066
,,,,0.9093,3.5075
,,,,0.9133,3.5084
,,,,0.9174,3.5094
,,,,0.9214,3.5106
,,,,0.9254,3.5115
,,,,0.9295,3.5128
,,,,0.9335,3.5137
,,,,0.9376,3.5146
,,,,0.9416,3.5159
,,,,0.9457,3.5168
,,,,0.9497,3.5177
,,,,0.9537,3.5187
,,,,0.9578,3.5196
,,,,0.9618,3.5208
,,,,0.9659,3.5218
,,,,0.9699,3.5227
,,,,0.9739,3.5236
,,,,0.9780,3.5246
,,,,0.9820,3.5255
,,,,0.9861,3.5264
,,,,0.9901,3.5274
,,,,0.9941,3.5286
,,,,0.9982,3.5295
,,,,1.0022,3.5305
,,,,1.0063,3.5314
,,,,1.0103,3.5326
,,,,1.0144,3.5336
,,,,1.0184,3.5342
,,,,1.0224,3.5354
,,,,1.0265,3.5363
,,,,1.0305,3.5373
,,,,1.0346,3.5382
,,,,1.0386,3.5391
,,,,1.0426,3.5401
,,,,1.0467,3.5410
,,,,1.0507,3.5419
,,,,1.0548,3.5429
,,,,1.0588,3.5441
,,,,1.0628,3.5447
,,,,1.0669,3.5456
,,,,1.0709,3.5466
,,,,1.0750,3.5475
,,,,1.0790,3.5481
,,,,1.0831,3.5491
,,,,1.0871,3.5500
,,,,1.0911,3.5506
,,,,1.0952,3.5515
,,,,1.0992,3.5528
,,,,1.1033,3.5534
,,,,1.1073,3.5543
,,,,1.1113,3.5553
,,,,1.1154,3.5559
,,,,1.1194,3.5568
,,,,1.1235,3.5577
,,,,1.1275,3.5587
,,,,1.1315,3.5593
,,,,1.1356,3.5605
,,,,1.1396,3.5611
,,,,1.1437,3.5621
,,,,1.1477,3.5627
,,,,1.1518,3.5636
,,,,1.1558,3.5646
,,,,1.1598,3.5655
,,,,1.1639,3.5661
,,,,1.1679,3.5670
,,,,1.1720,3.5683
,,,,1.1760,3.5689
,,,,1.1800,3.5698
,,,,1.1841,3.5708
,,,,1.1881,3.5714
,,,,1.1922,3.5723
,,,,1.1962,3.5729
,,,,1.2002,3.5739
,,,,1.2043,3.5748
,,,,1.2083,3.5754
,,,,1.2124,3.5766
,,,,1.2164,3.5776
,,,,1.2205,3.5782
,,,,1.2245,3.5791
,,,,1.2285,3.5797
,,,,1.2326,3.5807
,,,,1.2366,3.5816
,,,,1.2407,3.5822
,,,,1.2447,3.5832
,,,,1.2487,3.5841
,,,,1.2528,3.5850
,,,,1.2568,3.5856
,,,,1.2609,3.5863
,,,,1.2649,3.5872
,,,,1.2689,3.5878
,,,,1.2730,3.5884
,,,,1.2770,3.5894
,,,,1.2811,3.5900
,,,,1.2851,3.5906
,,,,1.2892,3.5912
,,,,1.2932,3.5921
,,,,1.2972,3.5928
,,,,1.3013,3.5934
,,,,1.3053,3.5940
,,,,1.3094,3.5946
,,,,1.3134,3.5953
,,,,1.3174,3.5959
,,,,1.3215,3.5965
,,,,1.3255,3.5971
,,,,1.3296,3.5977
,,,,1.3336,3.5984
,,,,1.3376,3.5990
,,,,1.3417,3.5996
,,,,1.3457,3.6002
,,,,1.3498,3.6008
,,,,1.3538,3.6015
,,,,1.3579,3.6018
,,,,1.3619,3.6024
,,,,1.3659,3.6030
,,,,1.3700,3.6036
,,,,1.3740,3.6039
,,,,1.3781,3.6046
,,,,1.3821,3.6052
,,,,1.3861,3.6055
,,,,1.3902,3.6061
,,,,1.3942,3.6067
,,,,1.3983,3.6070
,,,,1.4023,3.6080
,,,,1.4063,3.6083
,,,,1.4104,3.6089
,,,,1.4144,3.6092
,,,,1.4185,3.6098
,,,,1.4225,3.6104
,,,,1.4266,3.6108
,,,,1.4306,3.6111
,,,,1.4346,3.6117
,,,,1.4387,3.6120
,,,,1.4427,3.6126
,,,,1.4468,3.6132
,,,,1.4508,3.6135
,,,,1.4548,3.6142
,,,,1.4589,3.6145
,,,,1.4629,3.6148
,,,,1.4670,3.6157
,,,,1.4710,3.6160
,,,,1.4750,3.6163
,,,,1.4791,3.6170
,,,,1.4831,3.6173
,,,,1.4872,3.6179
,,,,1.4912,3.6185
,,,,1.4953,3.6188
,,,,1.4993,3.6191
,,,,1.5033,3.6194
,,,,1.5074,3.6201
,,,,1.5114,3.6204
,,,,1.5155,3.6207
,,,,1.5195,3.6213
,,,,1.5235,3.6216
,,,,1.5276,3.6222
,,,,1.5316,3.6225
,,,,1.5357,3.6228
,,,,1.5397,3.6238
,,,,1.5437,3.6241
,,,,1.5478,3.6244
,,,,1.5518,3.6250
,,,,1.5559,3.6253
,,,,1.5599,3.6256
,,,,1.5640,3.6263
,,,,1.5680,3.6266
,,,,1.5720,3.6269
,,,,1.5761,3.6275
,,,,1.5801,3.6278
,,,,1.5842,3.6281
,,,,1.5882,3.6287
,,,,1.5922,3.6290
,,,,1.5963,3.6294
,,,,1.6003,3.6300
,,,,1.6044,3.6303
,,,,1.6084,3.6306
,,,,1.6124,3.6315
,,,,1.6165,3.6318
,,,,1.6205,3.6321
,,,,1.6246,3.6328
,,,,1.6286,3.6331
,,,,1.6327,3.6334
,,,,1.6367,3.6340
,,,,1.6407,3.6343
,,,,1.6448,3.6346
,,,,1.6488,3.6349
,,,,1.6529,3.6356
,,,,1.6569,3.6359
,,,,1.6609,3.6365
,,,,1.6650,3.6368
,,,,1.6690,3.6371
,,,,1.6731,3.6377
,,,,1.6771,3.6380
,,,,1.6811,3.6383
,,,,1.6852,3.6393
,,,,1.6892,3.6396
,,,,1.6933,3.6399
,,,,1.6973,3.6402
,,,,1.7014,3.6405
,,,,1.7054,3.6411
,,,,1.7094,3.6414
,,,,1.7135,3.6418
,,,,1.7175,3.6424
,,,,1.7216,3.6427
,,,,1.7256,3.6433
,,,,1.7296,3.6436
,,,,1.7337,3.6439
,,,,1.7377,3.6445
,,,,1.7418,3.6449
,,,,1.7458,3.6452
,,,,1.7498,3.6455
,,,,1.7539,3.6461
,,,,1.7579,3.6464
,,,,1.7620,3.6473
,,,,1.7660,3.6476
,,,,1.7701,3.6480
,,,,1.7741,3.6483
,,,,1.7781,3.6489
,,,,1.7822,3.6492
,,,,1.7862,3.6495
,,,,1.7903,3.6501
,,,,1.7943,3.6504
,,,,1.7983,3.6511
,,,,1.8024,3.6514
,,,,1.8064,3.6517
,,,,1.8105,3.6523
,,,,1.8145,3.6526
,,,,1.8185,3.6529
,,,,1.8226,3.6535
,,,,1.8266,3.6538
,,,,1.8307,3.6542
,,,,1.8347,3.6551
,,,,1.8388,3.6554
,,,,1.8428,3.6557
,,,,1.8468,3.6563
,,,,1.8509,3.6566
,,,,1.8549,3.6573
,,,,1.8590,3.6576
,,,,1.8630,3.6579
,,,,1.8670,3.6585
,,,,1.8711,3.6588
,,,,1.8751,3.6594
,,,,1.8792,3.6597
,,,,1.8832,3.6600
,,,,1.8873,3.6607
,,,,1.8913,3.6610
,,,,1.8953,3.6613
,,,,1.8994,3.6619
,,,,1.9034,3.6628
,,,,1.9075,3.6631
,,,,1.9115,3.6635
,,,,1.9155,3.6641
,,,,1.9196,3.6644
,,,,1.9236,3.6650
,,,,1.9277,3.6653
,,,,1.9317,3.6656
,,,,1.9357,3.6662
,,,,1.9398,3.6666
,,,,1.9438,3.6672
,,,,1.9479,3.6675
,,,,1.9519,3.6681
,,,,1.9560,3.6684
,,,,1.9600,3.6690
,,,,1.9640,3.6693
,,,,1.9681,3.6697
,,,,1.9721,3.6703
,,,,1.9762,3.6709
,,,,1.9802,3.6715
,,,,1.9842,3.6718
,,,,1.9883,3.6724
,,,,1.9923,3.6728
,,,,1.9964,3.6734
,,,,2.0004,3.6737
,,,,2.0044,3.6740
,,,,2.0084,3.6746
,,,,2.0124,3.6749
,,,,2.0164,3.6755
,,,,2.0205,3.6762
,,,,2.0245,3.6765
,,,,2.0285,3.6768
,,,,2.0325,3.6774
,,,,2.0365,3.6780
,,,,2.0405,3.6786
,,,,2.0445,3.6793
,,,,2.0485,3.6796
,,,,2.0525,3.6802
,,,,2.0565,3.6805
,,,,2.0606,3.6811
,,,,2.0646,3.6817
,,,,2.0686,3.6821
,,,,2.0726,3.6827
,,,,2.0766,3.6830
,,,,2.0806,3.6836
,,,,2.0846,3.6839
,,,,2.0886,3.6845
,,,,2.0926,3.6852
,,,,2.0966,3.6855
,,,,2.1006,3.6861
,,,,2.1047,3.6867
,,,,2.1087,3.6873
,,,,2.1127,3.6879
,,,,2.1167,3.6883
,,,,2.1207,3.6889
,,,,2.1247,3.6895
,,,,2.1287,3.6898
,,,,2.1327,3.6904
,,,,2.1367,3.6910
,,,,2.1408,3.6917
,,,,2.1448,3.6920
,,,,2.1488,3.6923
,,,,2.1528,3.6929
,,,,2.1568,3.6935
,,,,2.1608,3.6941
,,,,2.1648,3.6948
,,,,2.1688,3.6954
,,,,2.1728,3.6960
,,,,2.1768,3.6966
,,,,2.1808,3.6969
,,,,2.1849,3.6976
,,,,2.1889,3.6982
,,,,2.1929,3.6988
,,,,2.1969,3.6994
,,,,2.2009,3.6997
,,,,2.2049,3.7003
,,,,2.2089,3.7010
,,,,2.2129,3.7016
,,,,2.2169,3.7025
,,,,2.2209,3.7028
,,,,2.2249,3.7034
,,,,2.2289,3.7041
